ability ; способность ; слабость ; ошибка ; weakness ; mistake ; Его способность говорить быстро впечатляет. ; His ability to speak quickly is impressive. ; əˈbɪləti
accept ; принимать ; отвергать ; уменьшать ; reject ; reduce ; Я не могу принять это решение. ; I cannot accept this decision. ; əkˈsɛpt
access ; доступ ; выход ; линия ; exit ; line ; У меня нет доступа к файлам. ; I don't have access to the files. ; ˈæksɛs
across ; через ; под ; возле ; under ; beside ; Мы прошли через реку. ; We walked across the river. ; əˈkrɒs
active ; активный ; пассивный ; ленивый ; passive ; lazy ; Он ведет очень активный образ жизни. ; He leads a very active lifestyle. ; ˈæktɪv
actual ; фактический ; возможный ; грязный ; possible ; dirty ; Это фактическая стоимость проекта. ; This is the actual cost of the project. ; ˈæktʃuəl
addition ; добавление ; удаление ; обмен ; removal ; exchange ; Добавление сахара улучшило вкус. ; The addition of sugar improved the taste. ; əˈdɪʃən
affect ; влиять ; защищать ; менять форму ; protect ; reshape ; Погода влияет на моё настроение. ; The weather affects my mood. ; əˈfɛkt
afraid ; испуганный ; спокойный ; уверенный ; calm ; confident ; Она боится темноты. ; She is afraid of the dark. ; əˈfreɪd
against ; против ; за ; между ; for ; between ; Они голосовали против предложения. ; They voted against the proposal. ; əˈɡeɪnst
alike ; похожий ; другой ; редкий ; different ; rare ; Они очень похожи. ; They look very much alike. ; əˈlaɪk
allow ; позволять ; запрещать ; разрушать ; forbid ; destroy ; Он разрешил мне уйти раньше. ; He allowed me to leave early. ; əˈlaʊ
along ; вдоль ; через ; вокруг ; through ; around ; Мы шли вдоль берега. ; We walked along the shore. ; əˈlɒŋ
already ; уже ; ещё ; редко ; yet ; rarely ; Он уже ушёл домой. ; He has already gone home. ; ɔːlˈrɛdi
although ; хотя ; потому что ; пока ; because ; while ; Хотя было поздно, он продолжал работать. ; Although it was late, he kept working. ; ɔːlˈðoʊ
amount ; количество ; качество ; сравнение ; quality ; comparison ; Нам нужно большое количество данных. ; We need a large amount of data. ; əˈmaʊnt
ancient ; древний ; новый ; близкий ; new ; near ; Это древний город. ; This is an ancient city. ; ˈeɪnʃənt
anger ; гнев ; радость ; надежда ; joy ; hope ; Его гнев был заметен. ; His anger was noticeable. ; ˈæŋɡər
announce ; объявлять ; скрывать ; спрашивать ; hide ; ask ; Они объявили новость вчера. ; They announced the news yesterday. ; əˈnaʊns
annual ; ежегодный ; случайный ; постоянный ; random ; constant ; Ежегодный отчет будет готов завтра. ; The annual report will be ready tomorrow. ; ˈænjuəl
anxious ; тревожный ; спокойный ; уверенный ; calm ; sure ; Он выглядел тревожным перед экзаменом. ; He looked anxious before the exam. ; ˈæŋkʃəs
apart ; отдельно ; вместе ; рядом ; together ; near ; Они живут отдельно. ; They live apart. ; əˈpɑːrt
appear ; появляться ; исчезать ; падать ; disappear ; fall ; Он появился в комнате внезапно. ; He suddenly appeared in the room. ; əˈpɪr
apply ; применять ; ломать ; запрещать ; break ; forbid ; Эти правила применяются ко всем. ; These rules apply to everyone. ; əˈplaɪ
appoint ; назначать ; отменять ; открывать ; cancel ; open ; Его назначили директором. ; He was appointed as the director. ; əˈpɔɪnt
approach ; подходить ; уходить ; прятаться ; leave ; hide ; Он подошёл к двери. ; He approached the door. ; əˈproʊtʃ
approve ; одобрять ; осуждать ; уменьшать ; blame ; reduce ; Совет одобрил проект. ; The council approved the project. ; əˈpruːv
argue ; спорить ; соглашаться ; слушать ; agree ; listen ; Они часто спорят из-за мелочей. ; They often argue over small things. ; ˈɑːrɡjuː
arrange ; организовывать ; разрушать ; забывать ; destroy ; forget ; Я организую встречу завтра. ; I will arrange a meeting tomorrow. ; əˈreɪndʒ
arrive ; прибывать ; уходить ; теряться ; leave ; lose ; Он прибыл вовремя. ; He arrived on time. ; əˈraɪv
aside ; в сторону ; прямо ; близко ; directly ; close ; Он отодвинул стул в сторону. ; He pushed the chair aside. ; əˈsaɪd
assist ; помогать ; мешать ; игнорировать ; hinder ; ignore ; Я помогу вам с проектом. ; I will assist you with the project. ; əˈsɪst
assume ; предполагать ; отрицать ; забывать ; deny ; forget ; Я предполагаю, что он придет. ; I assume he will come. ; əˈsuːm
attempt ; попытка ; успех ; отдых ; success ; rest ; Его попытка была успешной. ; His attempt was successful. ; əˈtɛmpt
attend ; посещать ; избегать ; ломать ; avoid ; break ; Он посещает школу ежедневно. ; He attends school every day. ; əˈtɛnd
attention ; внимание ; равнодушие ; шум ; indifference ; noise ; Пожалуйста, обратите внимание. ; Please pay attention. ; əˈtɛnʃən
attitude ; отношение ; расстояние ; воздух ; distance ; air ; Его отношение изменилось. ; His attitude has changed. ; ˈætɪˌtjuːd
audience ; аудитория ; выступление ; работа ; performance ; work ; Аудитория была впечатлена. ; The audience was impressed. ; ˈɔːdiəns
avoid ; избегать ; искать ; делить ; seek ; divide ; Избегай опасных мест. ; Avoid dangerous places. ; əˈvɔɪd
aware ; осведомленный ; забывчивый ; уставший ; forgetful ; tired ; Мы осведомлены о проблеме. ; We are aware of the problem. ; əˈwɛr
background ; фон ; центр ; звук ; center ; sound ; На фоне был шум. ; There was noise in the background. ; ˈbækˌɡraʊnd
balance ; баланс ; падение ; разрыв ; fall ; break ; Он сохраняет баланс. ; He keeps his balance. ; ˈbæləns
barely ; едва ; полностью ; быстро ; fully ; quickly ; Он едва дышал. ; He could barely breathe. ; ˈbɛərli
battle ; битва ; игра ; еда ; game ; food ; Битва длилась три часа. ; The battle lasted three hours. ; ˈbætəl
behave ; вести себя ; отдыхать ; смотреть ; rest ; watch ; Он ведёт себя хорошо. ; He behaves well. ; bɪˈheɪv
belief ; убеждение ; сомнение ; просьба ; doubt ; request ; Его убеждения сильны. ; His beliefs are strong. ; bɪˈliːf
belong ; принадлежать ; терять ; бросать ; lose ; throw ; Эта вещь принадлежит мне. ; This item belongs to me. ; bɪˈlɔːŋ
benefit ; выгода ; проблема ; потеря ; problem ; loss ; Это принесет большую выгоду. ; This will bring great benefit. ; ˈbɛnəfɪt
beside ; рядом ; позади ; внутри ; behind ; inside ; Он сидел рядом со мной. ; He sat beside me. ; bɪˈsaɪd
beyond ; за пределами ; вокруг ; под ; around ; beneath ; Это за пределами моих сил. ; It is beyond my abilities. ; bɪˈjɒnd
blame ; винить ; хвалить ; поддерживать ; praise ; support ; Не вините себя за это. ; Don't blame yourself for it. ; bleɪm
blank ; пустой ; полный ; мокрый ; full ; wet ; Он дал мне пустой лист. ; He gave me a blank sheet. ; blæŋk
blind ; слепой ; быстрый ; упрямый ; fast ; stubborn ; Он слеп на один глаз. ; He is blind in one eye. ; blaɪnd
board ; доска ; мост ; цветок ; bridge ; flower ; Он написал на доске. ; He wrote on the board. ; bɔːrd
